ID,y
1,5
2,5
3,5
4,5
5,5
6,5
7,5
8,5
9,5
10,5
11,5
12,5
13,5
14,5
15,5
16,5
17,5
18,5
19,5
20,5
21,5
22,5
23,5
24,5
25,5
26,5
27,5
28,5
29,5
30,5
31,5
32,5
33,5
34,5
35,5
36,5
37,5
38,5
39,5
40,5
41,5
42,5
43,5
44,5
45,4
46,4
47,5
48,5
49,5
50,5
51,5
52,5
53,5
54,5
55,5
56,6
57,6
58,6
59,6
60,6
61,6
62,6
63,6
64,6
65,6
66,6
67,6
68,6
69,6
70,6
71,6
72,6
73,6
74,6
75,6
76,6
77,6
78,6
79,6
80,2
81,1
82,1
83,2
84,1
85,2
86,2
87,1
88,2
89,2
90,2
91,1
92,1
93,1
94,2
95,2
96,2
97,1
98,2
99,2
100,1
101,2
102,1
103,3
104,2
105,1
106,2
107,3
108,1
109,2
110,3
111,2
112,3
113,2
114,3
115,2
116,3
117,3
118,2
119,3
120,3
121,2
122,3
123,3
124,3
125,3
126,3
127,2
128,3
129,3
130,3
131,3
132,2
133,3
134,2
135,2
136,2
137,2
138,2
139,2
140,2
141,2
142,2
143,2
144,2
145,2
146,2
147,2
148,2
149,2
150,2
151,2
152,2
153,2
154,2
155,2
156,2
157,2
158,2
159,5
160,5
161,5
162,5
163,5
164,5
165,5
166,5
167,5
168,5
169,5
170,5
171,5
172,5
173,5
174,5
175,5
176,5
177,5
178,5
179,5
180,5
181,5
182,4
183,4
184,4
185,4
186,4
187,4
188,4
189,4
190,4
191,4
192,4
193,4
194,4
195,4
196,5
197,5
198,5
199,5
200,5
201,5
202,5
203,5
204,6
205,6
206,6
207,6
208,6
209,6
210,6
211,6
212,6
213,6
214,6
215,6
216,6
217,6
218,6
219,6
220,6
221,6
222,6
223,6
224,6
225,6
226,6
227,6
228,1
229,1
230,1
231,1
232,1
233,1
234,1
235,1
236,1
237,1
238,1
239,1
240,1
241,1
242,1
243,1
244,2
245,1
246,1
247,1
248,1
249,1
250,1
251,1
252,1
253,1
254,1
255,1
256,1
257,3
258,3
259,3
260,3
261,3
262,3
263,3
264,3
265,3
266,2
267,3
268,3
269,3
270,3
271,3
272,3
273,2
274,3
275,3
276,3
277,3
278,3
279,3
280,2
281,2
282,2
283,2
284,2
285,2
286,2
287,2
288,2
289,2
290,2
291,2
292,2
293,2
294,1
295,2
296,2
297,3
298,2
299,2
300,2
301,2
302,2
303,5
304,5
305,5
306,4
307,5
308,5
309,4
310,4
311,5
312,5
313,4
314,4
315,4
316,4
317,4
318,4
319,4
320,4
321,5
322,5
323,5
324,5
325,4
326,5
327,5
328,5
329,4
330,5
331,4
332,4
333,4
334,4
335,4
336,4
337,4
338,4
339,4
340,4
341,4
342,4
343,4
344,5
345,5
346,5
347,4
348,4
349,4
350,4
351,4
352,4
353,5
354,5
355,6
356,6
357,6
358,6
359,6
360,6
361,6
362,6
363,6
364,6
365,6
366,6
367,6
368,6
369,6
370,6
371,6
372,6
373,6
374,6
375,6
376,6
377,6
378,6
379,6
380,6
381,6
382,6
383,6
384,6
385,1
386,1
387,1
388,1
389,1
390,1
391,1
392,1
393,1
394,1
395,1
396,1
397,1
398,1
399,1
400,1
401,1
402,1
403,1
404,1
405,1
406,1
407,1
408,1
409,1
410,1
411,1
412,1
413,1
414,1
415,1
416,3
417,3
418,3
419,1
420,3
421,1
422,1
423,1
424,3
425,3
426,3
427,3
428,3
429,3
430,3
431,3
432,3
433,3
434,3
435,3
436,3
437,3
438,3
439,2
440,2
441,2
442,2
443,2
444,2
445,2
446,2
447,1
448,1
449,2
450,3
451,3
452,2
453,2
454,2
455,2
456,2
457,2
458,2
459,2
460,2
461,2
462,2
463,2
464,2
465,2
466,2
467,1
468,5
469,4
470,4
471,5
472,5
473,5
474,5
475,5
476,5
477,4
478,4
479,5
480,5
481,5
482,5
483,5
484,5
485,5
486,5
487,5
488,5
489,5
490,5
491,5
492,4
493,5
494,5
495,4
496,4
497,4
498,4
499,4
500,4
501,4
502,4
503,4
504,4
505,4
506,4
507,4
508,4
509,4
510,5
511,4
512,5
513,4
514,4
515,5
516,5
517,5
518,4
519,5
520,5
521,6
522,6
523,6
524,6
525,6
526,6
527,6
528,6
529,6
530,6
531,6
532,6
533,6
534,6
535,6
536,6
537,6
538,6
539,6
540,6
541,6
542,6
543,6
544,6
545,1
546,1
547,1
548,1
549,1
550,2
551,1
552,1
553,1
554,1
555,1
556,1
557,1
558,1
559,3
560,1
561,1
562,1
563,1
564,1
565,1
566,1
567,1
568,1
569,1
570,1
571,1
572,1
573,1
574,3
575,3
576,3
577,3
578,1
579,3
580,3
581,3
582,1
583,3
584,3
585,3
586,3
587,3
588,3
589,1
590,3
591,3
592,3
593,3
594,3
595,3
596,2
597,2
598,2
599,2
600,2
601,2
602,2
603,2
604,2
605,3
606,2
607,3
608,2
609,2
610,3
611,3
612,2
613,2
614,2
615,2
616,2
617,3
618,1
619,3
620,4
621,5
622,4
623,4
624,4
625,4
626,4
627,4
628,4
629,4
630,5
631,5
632,4
633,4
634,4
635,4
636,4
637,5
638,5
639,5
640,5
641,5
642,4
